Datetime,Water Level (m)
2023-05-21 18:00:00,0.38060474
2023-05-21 19:00:00,0.4897154
2023-05-21 20:00:00,0.5124672
2023-05-21 21:00:00,0.4357143
2023-05-21 22:00:00,0.281889
2023-05-21 23:00:00,0.13418356
2023-05-22 00:00:00,0.012282353
2023-05-22 01:00:00,-0.12455383
2023-05-22 02:00:00,-0.2609254
2023-05-22 03:00:00,-0.3634837
2023-05-22 04:00:00,-0.3018991
2023-05-22 05:00:00,-0.0004413656
2023-05-22 06:00:00,0.31625143
2023-05-22 07:00:00,0.52873373
2023-05-22 08:00:00,0.66265446
2023-05-22 09:00:00,0.72060364
2023-05-22 10:00:00,0.63038504
2023-05-22 11:00:00,0.45587385
2023-05-22 12:00:00,0.3286119
2023-05-22 13:00:00,0.20945866
2023-05-22 14:00:00,0.090421446
2023-05-22 15:00:00,-0.0247287
2023-05-22 16:00:00,-0.10719155
2023-05-22 17:00:00,-0.010613168
2023-05-22 18:00:00,0.23340565
2023-05-22 19:00:00,0.42471156
2023-05-22 20:00:00,0.4859552
2023-05-22 21:00:00,0.4544827
2023-05-22 22:00:00,0.32778952
2023-05-22 23:00:00,0.17370304
2023-05-23 00:00:00,0.044039015
2023-05-23 01:00:00,-0.06680889
2023-05-23 02:00:00,-0.1926529
2023-05-23 03:00:00,-0.29024267
2023-05-23 04:00:00,-0.31349462
2023-05-23 05:00:00,-0.10318802
2023-05-23 06:00:00,0.18286037
2023-05-23 07:00:00,0.41125834
2023-05-23 08:00:00,0.58328676
2023-05-23 09:00:00,0.6916828
2023-05-23 10:00:00,0.69626904
2023-05-23 11:00:00,0.5634847
2023-05-23 12:00:00,0.40979367
2023-05-23 13:00:00,0.2996916
2023-05-23 14:00:00,0.18870844
2023-05-23 15:00:00,0.07649202
2023-05-23 16:00:00,-0.01796777
2023-05-23 17:00:00,-0.041567557
2023-05-23 18:00:00,0.12517814
2023-05-23 19:00:00,0.32019055
2023-05-23 20:00:00,0.42398268
2023-05-23 21:00:00,0.4362555
2023-05-23 22:00:00,0.3664239
2023-05-23 23:00:00,0.23219325
2023-05-24 00:00:00,0.10248356
2023-05-24 01:00:00,0.00016846514
2023-05-24 02:00:00,-0.11220354
2023-05-24 03:00:00,-0.20529
2023-05-24 04:00:00,-0.26819205
2023-05-24 05:00:00,-0.17408572
2023-05-24 06:00:00,0.065863155
2023-05-24 07:00:00,0.3155108
2023-05-24 08:00:00,0.49312428
2023-05-24 09:00:00,0.63750523
2023-05-24 10:00:00,0.7145097
2023-05-24 11:00:00,0.6735382
2023-05-24 12:00:00,0.531023
2023-05-24 13:00:00,0.39576444
2023-05-24 14:00:00,0.28162265
2023-05-24 15:00:00,0.18908994
2023-05-24 16:00:00,0.10202434
2023-05-24 17:00:00,0.02614572
2023-05-24 18:00:00,0.0323619
2023-05-24 19:00:00,0.14941509
2023-05-24 20:00:00,0.29045546
2023-05-24 21:00:00,0.37542906
2023-05-24 22:00:00,0.38143417
2023-05-24 23:00:00,0.30947438
2023-05-25 00:00:00,0.16877465
2023-05-25 01:00:00,0.046870038
2023-05-25 02:00:00,-0.045260873
2023-05-25 03:00:00,-0.13783075
2023-05-25 04:00:00,-0.21132101
2023-05-25 05:00:00,-0.23268008
2023-05-25 06:00:00,-0.07870896
2023-05-25 07:00:00,0.17737399
2023-05-25 08:00:00,0.40733087
2023-05-25 09:00:00,0.56889415
2023-05-25 10:00:00,0.6800138
2023-05-25 11:00:00,0.71413636
2023-05-25 12:00:00,0.6293548
2023-05-25 13:00:00,0.49088284
2023-05-25 14:00:00,0.377368
2023-05-25 15:00:00,0.27523744
2023-05-25 16:00:00,0.17896277
2023-05-25 17:00:00,0.09428444
2023-05-25 18:00:00,0.056284174
2023-05-25 19:00:00,0.12763602
2023-05-25 20:00:00,0.27984095
2023-05-25 21:00:00,0.38909754
2023-05-25 22:00:00,0.42838472
2023-05-25 23:00:00,0.41559145
2023-05-26 00:00:00,0.34277347
2023-05-26 01:00:00,0.22764544
2023-05-26 02:00:00,0.11974945
2023-05-26 03:00:00,0.033596452
2023-05-26 04:00:00,-0.046800815
2023-05-26 05:00:00,-0.10716965
2023-05-26 06:00:00,-0.101162955
2023-05-26 07:00:00,0.06380199
2023-05-26 08:00:00,0.28559208
2023-05-26 09:00:00,0.46709862
2023-05-26 10:00:00,0.6133745
2023-05-26 11:00:00,0.697311
2023-05-26 12:00:00,0.6938713
2023-05-26 13:00:00,0.59751296
2023-05-26 14:00:00,0.47761306
2023-05-26 15:00:00,0.3518044
2023-05-26 16:00:00,0.22860797
2023-05-26 17:00:00,0.11852663
2023-05-26 18:00:00,0.020861603
2023-05-26 19:00:00,-0.038579218
2023-05-26 20:00:00,0.0118268775
2023-05-26 21:00:00,0.1697977
2023-05-26 22:00:00,0.30783045
2023-05-26 23:00:00,0.3578453
2023-05-27 00:00:00,0.3365814
2023-05-27 01:00:00,0.26574823
2023-05-27 02:00:00,0.182704
2023-05-27 03:00:00,0.1011445
2023-05-27 04:00:00,0.032805882
2023-05-27 05:00:00,-0.025267739
2023-05-27 06:00:00,-0.056251444
2023-05-27 07:00:00,-0.024760151
2023-05-27 08:00:00,0.113664985
2023-05-27 09:00:00,0.29906952
2023-05-27 10:00:00,0.45725077
2023-05-27 11:00:00,0.5763384
2023-05-27 12:00:00,0.6312259
2023-05-27 13:00:00,0.60813236
2023-05-27 14:00:00,0.5118985
2023-05-27 15:00:00,0.40045753
2023-05-27 16:00:00,0.2931621
2023-05-27 17:00:00,0.17827915
2023-05-27 18:00:00,0.067729905
